"year","acousticness","duration","energy","explicit","key","liveness","loudness","mode","tempo","pop.class"
1998,0.147,148520,0.74,0,"Db",0.0452,-8.165,0,157.068,"C"
1992,0.193,189800,0.389,0,"C",0.154,-11.642,0,85.27,"C"
1973,0.388,289267,0.856,0,"A",0.139,-8.403,0,101.28,"C"
1969,0.733,170267,0.454,0,"F",0.0889,-8.118,0,82.378,"C"
2008,0.979,438907,0.494,0,"G",0.123,-10.654,0,156.278,"C"
2015,0.0742,219333,0.766,0,"G",0.0827,-5.974,0,110.034,"A"
1935,0.99,187742,0.42,0,"Ab",0.13,-10.968,0,112.246,"D"
1928,0.995,97627,0.211,1,"D",0.106,-16.423,1,79.812,"D"
2013,0.000506,209427,0.53,1,"Gb",0.0477,-10.319,1,139.948,"B"
1945,0.98,159227,0.106,1,"Gb",0.237,-17.27,1,76.959,"D"
1999,0.00146,244160,0.776,0,"Gb",0.157,-9.778,0,113.532,"B"
1956,0.927,169333,0.0961,1,"Ab",0.0885,-17.655,1,57.065,"D"
1970,0.0238,377560,0.894,1,"Bb",0.125,-6.965,1,114.246,"C"
1983,0.0647,144467,0.493,0,"E",0.162,-15.859,0,122.506,"C"
2006,0.927,151533,0.217,0,"G",0.352,-13.853,0,136.991,"B"
1954,0.83,195200,0.181,1,"Bb",0.108,-11.94,1,168.221,"D"
1950,0.986,107439,0.345,0,"D",0.121,-17.499,0,98.271,"D"
1949,0.923,168733,0.13,1,"D",0.298,-12.812,1,123.782,"C"
1997,0.00945,241293,0.77,0,"Db",0.254,-8.094,0,128.817,"C"
1960,0.946,182960,0.164,1,"D",0.265,-15.238,1,85.464,"D"
1945,0.973,197780,0.305,0,"F",0.475,-10.302,0,64.274,"D"
1957,0.889,293640,0.279,0,"F",0.137,-11.887,0,120.455,"C"
1963,0.816,148493,0.262,0,"G",0.0994,-13.623,0,93.777,"D"
1988,0.99,490027,0.0186,0,"B",0.0735,-28.795,0,88.123,"C"
1987,0.0124,219067,0.579,0,"G",0.169,-12.347,0,99.358,"C"
1990,0.0926,307760,0.67,0,"G",0.347,-12.737,0,99.714,"C"
2018,0.0537,219520,0.793,0,"Bb",0.16,-4.126,0,103.97,"A"
1949,0.938,190773,0.264,0,"Ab",0.132,-12.58,0,79.136,"D"
1995,0.106,185227,0.799,0,"C",0.332,-11.993,0,175.921,"B"
1978,0.389,252333,0.605,1,"E",0.115,-12.694,1,175.874,"C"
2002,0.314,173947,0.661,0,"G",0.192,-10.171,0,116.485,"C"
1976,0.834,171040,0.115,0,"G",0.115,-12.624,0,77.868,"D"
1994,0.0843,392573,0.537,1,"A",0.116,-10.195,1,171.528,"C"
1977,0.763,152921,0.24,0,"Eb",0.0851,-15.066,0,122.182,"C"
2011,0.411,140747,0.574,0,"E",0.262,-6.938,0,149.762,"A"
1939,0.969,154587,0.434,1,"C",0.306,-5.961,1,130.577,"D"
2010,0.00232,294360,0.848,1,"A",0.543,-13.287,1,144.993,"B"
1975,0.895,320573,0.0856,0,"E",0.0876,-19.231,0,90.137,"C"
1986,0.234,301973,0.653,0,"C",0.283,-14.798,0,97.155,"B"
1983,0.0718,220173,0.797,0,"G",0.0785,-8.502,0,177.188,"B"
1950,0.982,194987,0.299,0,"A",0.12,-10.451,0,116.707,"D"
2009,0.35,314500,0.157,0,"G",0.153,-18.2,0,118.511,"B"
1994,0.0294,260800,0.793,1,"E",0.173,-6.638,1,91.925,"B"
1962,0.843,183360,0.285,0,"C",0.132,-12.474,0,91.457,"C"
1999,0.303,297600,0.747,0,"D",0.0985,-5.993,0,139.96,"B"
1987,0.762,352933,0.298,0,"F",0.0636,-11.201,0,98.965,"C"
1940,0.995,190907,0.196,0,"A",0.13,-14.162,0,93.977,"D"
1979,0.0274,239333,0.831,0,"D",0.22,-5.439,0,131.104,"C"
1967,0.97,132800,0.132,0,"C",0.0657,-16.676,0,84.547,"C"
1937,0.637,231657,0.394,1,"E",0.233,-9.064,1,96.53,"D"
1968,0.0292,274627,0.535,0,"Bb",0.169,-11.676,0,182.756,"C"
1929,0.995,167600,0.0775,1,"A",0.123,-18.683,1,117.047,"D"
1976,0.519,209323,0.542,0,"D",0.12,-12.625,0,102.682,"C"
1988,0.000137,194680,0.992,0,"C",0.154,-3.843,0,104.269,"C"
2004,0.0016,192093,0.955,0,"G",0.444,-3.379,0,92.48,"B"
2019,0.049,248472,0.602,0,"Gb",0.279,-7.083,0,119.703,"A"
1984,0.621,206147,0.383,0,"C",0.137,-13.373,0,175.183,"C"
2007,0.727,254347,0.57,0,"C",0.0784,-6.564,0,111.927,"B"
1958,0.685,300640,0.144,1,"C",0.197,-15.676,1,67.224,"D"
1924,0.989,132787,0.158,1,"Gb",0.109,-20.976,1,168.596,"D"
2003,0.064,265800,0.625,0,"G",0.223,-4.95,0,120.853,"B"
1999,0.000186,229067,0.993,1,"A",0.302,-5.474,1,148.725,"B"
2003,0.996,141787,0.00743,0,"B",0.105,-37.501,0,66.46,"B"
1990,0.00562,266307,0.944,0,"E",0.366,-6.368,0,130.31,"C"
1998,0.00285,395560,0.761,0,"A",0.0945,-8.619,0,175.817,"C"
1974,0.882,142832,0.0774,0,"Ab",0.117,-15.995,0,112.487,"C"
1999,0.338,271493,0.439,0,"F",0.18,-7.058,0,92.054,"B"
1956,0.511,153867,0.316,0,"C",0.213,-10.52,0,116.139,"C"
1980,0.0215,214093,0.731,0,"A",0.0954,-7.851,0,144.588,"C"
1997,0.135,188067,0.314,0,"G",0.0987,-12.021,0,135.421,"C"
2014,0.574,237093,0.781,0,"E",0.323,-3.079,0,125.9,"A"
1985,0.00715,142000,0.754,0,"C",0.0568,-9.961,0,127.888,"C"
2011,0.0294,181387,0.861,0,"F",0.114,-2.909,0,154.122,"B"
1996,0.0623,136147,0.681,0,"A",0.137,-5.653,0,75.034,"A"
1974,0.826,278396,0.34,1,"G",0.269,-15.663,1,98.894,"C"
1994,0.238,297493,0.566,0,"D",0.122,-12.274,0,167.907,"B"
1994,5.26e-05,126027,0.913,0,"G",0.173,-8.104,0,93.476,"C"
1946,0.991,187617,0.191,0,"C",0.348,-11.61,0,97.452,"D"
1956,0.853,202853,0.74,0,"F",0.441,-6.154,0,108.997,"D"
1970,0.732,164593,0.339,0,"D",0.346,-18.561,0,124.293,"C"
1982,0.971,76273,0.032,0,"Bb",0.092,-25.001,0,110.771,"B"
1953,0.974,162666,0.368,1,"B",0.107,-15.439,1,100.64,"D"
1997,0.0496,277827,0.815,1,"Bb",0.128,-2.008,1,89.8,"B"
2018,0.115,223907,0.718,0,"D",0.402,-6.372,0,123.994,"B"
1965,0.0559,300747,0.589,0,"D",0.123,-9.675,0,130.892,"C"
2019,0.0923,229773,0.862,1,"B",0.192,-4.757,1,119.991,"A"
2008,0.000192,193973,0.844,1,"E",0.195,-6.005,1,140.082,"B"
